Name,ID,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzPN,OPS16,23.61494008,-13.25114569,-1.451955112,-13.8162147,-1.860862283,-2.610126076,-1.402631261,-3.571360564,-2.979373498,0,1,0,0,54
4DPAPN,OPS17,20.86353489,-5.671391496,-5.356388883,-2.571230907,-8.834818865,-4.023248323,7.455518102,11.9489109,1.043638495,0,1,0,0,4
4CzTPN,OPS18,23.19715798,-13.58637225,-1.721701374,-13.97982317,-2.250494355,-2.342682004,-1.702469925,-3.211834985,-3.158378145,0,1,0,0,9
4DPATPN,OPS19,20.64410575,-5.960567778,-5.720965097,-2.690196867,-9.107809392,-3.588674266,6.858923812,12.2336344,0.88833958,0,1,0,0,13
1CzTRZ,OPS20,-7.528073099,-2.997749652,-5.859561419,-3.827072335,-1.266883643,2.045150218,3.217907779,-2.810639673,-5.010432091,0,1,0,0,0
1tBuCzTRZ,OPS21,4.97401162,12.3060895,1.257545542,-0.854862919,-2.534792117,-3.61218457,0.854847903,-1.854265589,-5.95770975,0,1,0,0,95
1DPATRZ,OPS22,-8.274947716,0.054620267,-7.762903775,0.967696732,-3.254126783,2.249546472,4.836296657,1.267282459,-3.327403182,0,1,0,0,94
1tBuDPATRZ,OPS23,3.918755867,15.2712788,-0.613476468,5.105583693,-0.974135358,-0.584102153,0.104970353,-0.336733455,-3.751288977,0,1,0,0,97
1ClDPATRZ,OPS24,-5.6015942,-4.191259323,-3.674520945,7.765398019,0.641669065,0.336263246,3.517311891,-1.661716287,-2.706018503,0,1,0,0,98
1BrDPATRZ,OPS25,-4.176784856,-6.069748898,-3.590258071,11.40803227,7.135556916,-3.95378739,3.79959432,-2.0803131,-3.956068256,0,1,0,0,97
1OMeDPATRZ,OPS26,-3.571459873,-0.168073728,-1.071200674,6.110453241,-6.592145615,2.285303505,4.853949054,-5.920206137,3.112662685,0,1,0,0,32
1PhDPATRZ,OPS27,2.577253323,1.284384452,-9.512825468,2.023439396,-0.41654667,6.39421026,4.732556668,-1.195907829,-2.964087379,0,1,0,0,97
1PTZTRZ,OPS28,-7.693778788,-3.131180798,-5.811934933,-0.354281646,0.900435206,1.340415458,4.742696041,-1.93658098,-7.337891148,0,1,0,0,11
2CzBP,OPS29,-4.903375996,-4.19396334,-7.930312479,-4.900817835,4.395996268,10.02994729,-1.968667893,-6.390891815,-0.620079804,0,1,0,0,0
2DMABP,OPS30,-20.67245872,13.95668699,4.389739262,12.02919149,-7.479350238,-6.973876568,-2.482553108,-4.783173516,5.702799782,0,1,0,0,0
2DPABP,OPS31,-6.191094359,1.302834245,-10.86371773,3.352063566,0.271477732,9.676431834,2.712224424,1.47071362,1.613603799,0,1,0,0,9
2tBuDPABP,OPS32,15.7737997,24.28538513,0.000543774,8.94171466,4.013229748,6.820657336,-3.012048419,0.793002795,-0.054320234,0,1,0,0,81
2MeDPABP,OPS33,-0.263793694,7.985392938,-5.158518803,6.093401767,-0.709961052,4.577861564,3.320805889,-0.168198382,0.289330196,0,1,0,0,54
2ClDPABP,OPS34,-0.735107408,-5.755186638,-4.243127468,14.69665078,6.727604546,6.319740448,0.381256893,-2.46475466,2.57945718,0,1,0,0,5
2BrDPABP,OPS35,2.079864869,-8.890338514,-4.08989943,21.70443049,17.81108362,-1.790226852,0.915915826,-2.95236391,0.516413151,0,1,0,0,5
2PhDPABP,OPS36,15.47765883,2.89885632,-13.21935366,4.998274594,4.481703401,17.36841962,3.678254324,-2.120912554,0.828086033,0,1,0,0,96
2CzPN,OPS37,-4.094487082,-9.203039827,-2.715447337,-6.465249504,-1.02034487,-1.609333826,-2.93177565,-4.415620588,-0.902258413,0,1,0,0,4
2tBuCzPN,OPS38,17.31345178,17.74210924,6.885243919,-3.206476589,-0.638007895,-6.439953922,-6.478224812,-1.403360334,-0.924838418,0,1,0,0,10
2ClCzPN,OPS39,0.700427084,-17.12574915,4.099750704,3.732979369,4.815980117,-5.506407267,-4.600015193,-6.88216299,0.227812211,0,1,0,0,3
1tBuDPAN,OPS40,-7.30673789,21.35062857,-2.006992845,4.038228411,-0.123603086,-7.467311771,-2.014685758,-0.330399116,-1.102633496,0,1,0,0,0
PNZN,OPS41,-20.17371137,-3.186411304,-5.518736943,-3.428295039,-3.968506028,-2.890392888,1.897270355,-2.312365738,-2.399698009,0,1,0,0,10
biphenylPNZN,OPS42,3.503228842,0.722897393,-8.787900057,-1.158845017,-0.122526759,3.786680743,3.413040221,-4.105343563,-3.637429313,0,1,0,0,7
PTZN,OPS43,-19.79468084,-1.398141165,-8.460412174,-2.60060338,2.394606467,-6.942250738,2.165308522,-3.270331885,-5.123626947,0,1,0,0,2
biphenylPTZN,OPS44,3.339941997,1.835299535,-11.37523535,-0.168823959,3.163736946,2.173259267,3.608567645,-6.019694711,-6.064812708,0,1,0,0,90
CF3PTZN,OPS45,-1.060670415,-8.981093132,15.09829843,10.48873772,-3.314359481,15.36575976,-3.601735486,-5.839450318,-11.23023118,0,1,0,0,95
2DPAB,OPS46,-12.54861492,3.296973943,-13.52411036,0.919735158,-1.528697761,2.811718288,4.592843524,3.154598693,3.997179451,0,1,0,0,0
2DPAN,OPS47,-7.836204577,1.416131013,-12.02704774,-1.825306351,-3.486225128,-0.498352519,6.361845914,2.853573525,0.180767556,0,1,0,0,4
2tBuDPAN,OPS48,13.54913195,25.55371101,-0.565053824,4.754717877,2.065219522,-0.993354252,-1.689594818,1.285165134,-0.191783401,0,1,0,0,53
2MeDPAN,OPS49,-1.960536155,8.529891162,-5.901496643,1.161048088,-3.5588907,-4.41467336,5.643902131,0.950233509,-0.033090158,0,1,0,0,0
2DPAA,OPS50,-3.18667775,-0.700942844,-11.26553843,-4.894770246,-5.298136403,-3.080809142,7.547234192,4.091615425,-2.174516772,0,1,0,0,2
2tBuDPAA,OPS51,17.82737431,23.41299998,-0.362389473,1.739432155,0.844339773,-2.085980429,-1.288160455,1.938301822,-1.068852929,0,1,0,0,2
2MeDPAA,OPS52,2.567488678,6.317601439,-5.667495182,-2.116567961,-4.817210068,-5.920644554,6.197187813,2.075271571,-1.586382276,0,1,0,0,2
2OMeDPAA,OPS53,4.670658039,-0.686607922,-0.156048402,2.969253777,-8.7610897,1.289636672,7.32020344,-7.230376648,9.586612797,0,1,0,0,0
3CzNB,OPS54,7.996363294,-11.62467503,-0.30098733,-8.615900151,-0.912551951,1.710066051,-6.410781727,-0.845091855,-5.510463573,0,1,0,0,0
3DPANB,OPS55,6.190790743,-3.781223201,-3.802199368,1.145963772,-6.440677423,0.732942019,0.323169606,11.41599766,-2.075770646,0,1,0,0,0
3MeDPANB,OPS56,13.77524035,5.246005736,1.964643503,3.908984734,-5.14816804,-2.360208889,-0.637784742,8.733332031,-0.885162293,0,1,0,0,0
