Name,ID,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
PNZN,OPS41,-0.668506269,-0.351897721,2.362336742,7.32792639,-4.652047271,-2.2083643,0.728354619,0.632507216,0.029482188,-2.25323981,-1.559953999,-1.706203918,0.300798057,3.562258282,0.756185909,-1.594679032,-1.675622761,3.639250311,5.960804837,-3.101654896,-2.39960688,-7.56270035,-0.353650062,-5.535488016,2.536252947,-2.425979496,1.101969252,-1.435036882,-0.683196027,0,0,0,0,0,0,0,1,3
biphenylPNZN,OPS42,-1.241513001,-0.585422709,3.073348382,9.467083654,-6.167992754,-2.70306668,0.902450701,0.598088126,-0.39217665,-3.476814854,-1.532695631,-2.102373479,0.708107428,2.288396331,2.514738691,-0.037284996,-2.876670303,3.773785515,8.289653527,-1.10403832,-1.978064406,-4.489423494,-2.249840214,-1.908428126,-0.501910879,-0.142471176,3.28972766,-1.079413751,0.303459896,0,0,0,0,0,0,0,1,62
PTZN,OPS43,-0.751010071,-1.246568587,1.538838212,8.987978576,-5.431150226,-2.62076976,-0.043069212,-0.627576453,-0.084067583,-3.270430591,-0.313147339,-0.690219662,0.418788617,2.434635484,0.255014305,-0.712614054,-1.233337111,-0.551679644,-0.857415586,-0.786266604,1.971967533,1.57503592,-0.87751007,0.888154965,-1.199746787,-1.696457799,-1.755766206,0.175545286,-1.510342923,0,0,0,0,0,0,0,1,1
biphenylPTZN,OPS44,-1.295858085,-1.382375332,2.341445917,10.82419734,-6.796862868,-2.794431696,0.946370014,-0.861227,-0.413504274,-4.253076931,-0.830897352,-1.281268737,0.552429864,1.522238538,2.083335745,0.523739981,-3.008205648,0.722763803,2.727572519,0.665421934,1.665561676,2.453988522,-1.949243037,3.592765342,-2.894479182,0.640957432,1.145414371,0.264637073,-0.322881044,0,0,0,0,0,0,0,1,76
CF3PTZN,OPS45,-0.780470461,-1.554980663,2.694157309,12.78377862,-7.840602612,-1.786731675,3.679125779,-3.311898662,-0.031948683,-5.411223421,-1.900800734,-2.30879194,1.371708969,2.238448037,1.926705451,2.869862211,-3.635808393,2.132386322,0.973854126,1.414811728,1.979066889,3.517583073,1.717939279,8.237928645,-1.234930111,5.1190242,3.095271195,1.099866811,0.275787326,0,0,0,0,0,0,0,1,49
2DPAB,OPS46,-1.556164598,-0.805028128,0.007063656,-2.505011105,-1.558414927,-0.760356665,-0.026554045,0.329470994,-1.235352473,0.228292599,-0.5056306,-0.032763403,0.07634911,0.290300375,-0.238698846,-0.530017183,1.03629285,0.053784927,0.226896885,-0.143025141,0.094025873,-0.321881043,-0.596412113,-0.113279804,-0.264640742,-0.79868534,-0.31360676,0.419865248,0.620560098,0,0,0,0,0,0,0,1,0
2DPAN,OPS47,-1.92328895,-0.954275255,-0.141129133,-2.162087045,-1.584851248,-0.704032409,-0.088479627,0.893824164,-0.234790952,-0.702975777,-0.461142651,-0.292042932,0.407432058,-0.146562054,-0.33731643,-0.146139731,1.112002601,0.503729526,0.618864153,-0.343292542,-2.858124779,-0.035243215,-0.760735996,0.986746406,-1.035067248,-1.730823129,-2.818074797,0.381851652,1.453176075,0,0,0,0,0,0,0,1,1
2tBuDPAN,OPS48,-1.991911159,-0.676534264,-0.817080664,-2.474540309,-1.406268334,0.749540837,0.050344765,0.296951391,-0.541413572,-1.723574702,-1.816610906,-0.993633605,0.634343151,-0.70957679,-1.19818682,3.789584764,-0.370323378,2.045436872,-0.714972029,-0.956568188,-4.478600219,0.502730803,1.395639118,1.994419506,1.134168804,-1.862228336,-3.515768808,0.250986366,0.596961758,0,0,0,0,0,0,0,1,1
2MeDPAN,OPS49,-1.674784875,-1.137488795,-0.436490181,-2.839222316,-1.720228774,0.112772376,-0.105997756,0.802623512,0.32897855,-0.530850736,-0.509718471,-0.37344214,-0.22449674,-0.244735671,0.608811805,0.99913389,-0.155591202,0.756905883,0.867076776,-0.888924616,-2.666536246,0.532015043,-0.635585628,0.589226816,-2.041147287,-1.261152527,-3.798240395,0.538771709,1.645278855,0,0,0,0,0,0,0,1,1
2DPAA,OPS50,-1.681581818,-0.730133714,-0.450755184,-2.062159642,-1.07136182,-0.614979103,0.067032661,0.462497551,-1.97929633,0.154804545,-0.995520892,-0.135992003,0.457236167,1.571908799,0.774892493,-1.144182245,1.720038569,0.727540021,-0.252898457,-0.77995898,-2.066649128,-0.841550267,0.579745311,0.825011122,-1.785152506,-0.558759697,-2.595740543,0.675890556,-0.706725236,0,0,0,0,0,0,0,1,0
2tBuDPAA,OPS51,-1.750204027,-0.452392723,-1.126706715,-2.374612906,-0.892778906,0.838594143,0.205857053,-0.134375221,-2.28591895,-0.865794379,-2.350989146,-0.837582676,0.68414726,1.008894063,-0.085977896,2.79154225,0.23771259,2.269247366,-1.586734639,-1.393234627,-3.687124568,-0.30357625,2.736120425,1.832684222,0.384083546,-0.690164904,-3.293434554,0.545025269,-1.562939552,0,0,0,0,0,0,0,1,0
