Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Yield
2DPABP,OPS31,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,10.5855,-1.898011696,-0.411412503,0.424920954,-1.158870164,-4.682725791,-1.142647094,0.731243504,-0.246848675,-1.162075335,-2.092635498,-0.295595583,0.026990976,-1.223017101,1.592292357,-2.729907241,1.382667061,2.38788599,-1.684979355,-3.211246588,-0.578875368,2.726501108,0.525372742,1.500688741,-1.539428645,0.59262936,-0.613725359,-0.472142378,-0.529989752,0.608985229,47
2tBuDPABP,OPS32,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,3.2452,-1.695114982,-0.294713276,-0.257775638,-2.271225909,-4.112434423,0.099490768,-0.283094822,0.948137882,-1.304604843,-1.622701918,0.934650718,-1.209389616,-2.636055277,2.017776103,-4.544749445,-2.893314623,2.699784666,-2.422657057,-1.166616857,-1.758014125,1.590029742,1.708602981,2.550488033,-2.296157505,0.059326577,1.608611433,-0.150620259,-1.728503545,-0.225022966,51
2MeDPABP,OPS33,-0.18065,-0.04943,3.5628,1.2249,3.0017,0.5611,3.4051,-1.259427218,-0.570939292,0.210934262,-2.152256715,-5.100701233,-0.457042654,0.238894408,0.15726186,-0.511246892,-1.382929489,-0.492236094,-0.72527116,-0.25726459,1.595578641,-1.947844811,-0.372301137,3.212670361,-2.62318302,-3.151520413,-1.076399093,2.987092693,2.18445562,2.400110121,-1.093769669,-0.064117581,-1.611521131,-0.938603314,0.264050035,0.671354279,43
2ClDPABP,OPS34,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.4965,-1.729829487,-0.319895983,0.042894907,-2.369733504,-4.112818877,-1.293269157,0.747954831,0.096141943,-1.398200589,-2.591251657,-1.407852173,1.931906263,-2.155782979,0.177705964,-2.705953503,0.026987383,3.503193751,-4.413954306,-4.350610669,-2.398527969,1.732564987,0.248773188,0.84649249,-0.21148879,2.174342893,-0.458113839,-0.315720417,-2.06655395,1.061669946,47
2BrDPABP,OPS35,-0.19934,-0.06713,3.6355,1.2161,3.061,0.5745,2.3507,-1.28970247,-0.687191406,0.182006935,-2.547590972,-5.25186958,-1.778755122,1.176028841,-0.012261669,-0.062735813,-0.858420216,0.011590038,-0.334653851,-1.474168927,1.294591366,-2.587488053,0.923213818,2.405414037,-2.182341359,-6.654958087,-1.553652584,2.660253343,1.182376638,-0.437430937,0.097337386,-0.627723072,3.882457627,-0.026609352,2.264164025,-3.089064852,42
2PhDPABP,OPS36,-0.18364,-0.05648,3.4923,1.3807,3.0058,0.4865,3.0055,-2.152704321,-0.484204777,0.591035963,-0.298324463,-4.484700027,-1.25607541,0.870305545,-0.385525625,-1.552537358,-2.649857337,-0.069242579,-0.616515012,-0.657089634,0.674049678,-3.302031259,0.762797732,2.765231865,-0.900063674,-4.137242088,-0.427204584,1.720706893,0.676097394,0.370525537,-1.30894418,0.844007754,-0.663632896,-0.998068338,-0.459703065,0.761663003,58
2CzPN,OPS37,-0.21407,-0.09152,3.5246,0.1345,3.1201,0.4045,9.4021,-0.365301329,0.788038127,-2.144447611,-0.964854803,4.994406771,-0.612684834,0.262258386,-0.291432648,0.359506139,1.852275507,-0.328048806,1.755029518,-0.889736639,-0.389416709,-1.804389383,1.644339849,1.9009427,-1.105379048,0.765502848,2.790234529,-4.463066979,-1.628568776,4.769604022,1.225205552,4.504710308,-2.002126891,1.38381556,2.990716056,-3.729110706,24
2tBuCzPN,OPS38,-0.20513,-0.08754,3.3855,0.1164,3.0249,0.3606,11.1744,-0.309542499,1.01753875,-2.983629635,-2.432059416,5.949598319,1.160632064,-1.08544051,0.914354167,0.257513959,1.984278083,1.340659243,0.313999188,-2.643640576,-0.238054103,-4.10735533,-4.008275565,1.393698093,-1.764386174,1.999632502,1.64286124,-5.877166996,-0.425503079,5.817694943,1.930323581,5.023852495,1.891157984,3.035363394,0.142689006,-3.720538274,56
2ClCzPN,OPS39,-0.22798,-0.10735,3.5473,0.1024,3.1826,0.3647,9.159,-0.409106569,1.035026913,-2.65612939,-2.462386743,5.817065182,-0.380325896,-0.146011283,-0.057608926,0.003054595,0.843506685,-1.948833704,5.696263235,-2.590260234,-3.484183049,-1.453654406,-1.660617736,3.058753425,-5.052013573,0.106632741,0.216364268,-6.108074299,-1.853093298,3.936000453,3.737685006,6.570039533,-0.321827111,3.085569499,1.539551092,-3.364080358,29
1tBuDPAN,OPS40,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7622,-2.135180116,-0.513468759,-0.907614211,0.594324508,-1.77970983,-0.026760479,-1.311825924,1.066224949,-0.461581962,1.018898308,3.537615,-1.392637062,-3.093750327,1.158782652,-0.684359704,-5.222747772,1.777533403,1.727583247,5.311459652,-2.801814591,-2.402369643,1.571635049,1.577401278,-5.593663944,-4.277518664,1.120765645,3.502254883,0.02662804,-0.173787119,0
